symbol,timestamp,author,text,engagement,composite_score,positive_count,negative_count
TSLA,2020-12-22T04:48:00,user_1_11,$TSLA my top pick. Undervalued imo,105,0.0,0,0
TSLA,2020-12-22T09:36:00,user_2_11,$TSLA why is it down so much? overreaction,468,-1.0,0,1
TSLA,2020-12-22T14:24:00,user_3_11,$TSLA Sold my position today. Taking profits,337,0.0,0,0
TSLA,2020-12-22T19:12:00,user_4_11,$TSLA mooning! 🚀📈 Love this stock!,496,1.0,3,0
TSLA,2020-12-23T00:00:00,user_0_12,$TSLA is looking bullish! 🚀 Great earnings report today,133,1.0,2,0
TSLA,2020-12-23T04:48:00,user_1_12,$TSLA Just bought more. Holding long term! 💎,318,1.0,2,0
TSLA,2020-12-23T09:36:00,user_2_12,$TSLA down today but I'm not worried. Strong company,86,0.0,1,1
TSLA,2020-12-23T14:24:00,user_3_12,$TSLA took a hit. Market volatility 📉,306,-1.0,0,1
TSLA,2020-12-23T19:12:00,user_4_12,$TSLA beat expectations again! To the moon! 🌙,414,0.0,0,0
TSLA,2020-12-24T00:00:00,user_0_13,$TSLA Bearish for now. Waiting for better entry,291,-1.0,0,1
TSLA,2020-12-24T04:48:00,user_1_13,$TSLA my top pick. Undervalued imo,394,0.0,0,0
TSLA,2020-12-24T09:36:00,user_2_13,$TSLA why is it down so much? overreaction,430,-1.0,0,1
TSLA,2020-12-24T14:24:00,user_3_13,$TSLA Sold my position today. Taking profits,429,0.0,0,0
TSLA,2020-12-24T19:12:00,user_4_13,$TSLA mooning! 🚀📈 Love this stock!,121,1.0,3,0
TSLA,2020-12-25T00:00:00,user_0_14,$TSLA is looking bullish! 🚀 Great earnings report today,300,1.0,2,0
TSLA,2020-12-25T04:48:00,user_1_14,$TSLA Just bought more. Holding long term! 💎,415,1.0,2,0
TSLA,2020-12-25T09:36:00,user_2_14,$TSLA down today but I'm not worried. Strong company,156,0.0,1,1
TSLA,2020-12-25T14:24:00,user_3_14,$TSLA took a hit. Market volatility 📉,211,-1.0,0,1
TSLA,2020-12-25T19:12:00,user_4_14,$TSLA beat expectations again! To the moon! 🌙,278,0.0,0,0
TSLA,2020-12-26T00:00:00,user_0_15,$TSLA Bearish for now. Waiting for better entry,129,-1.0,0,1
TSLA,2020-12-26T04:48:00,user_1_15,$TSLA my top pick. Undervalued imo,261,0.0,0,0
TSLA,2020-12-26T09:36:00,user_2_15,$TSLA why is it down so much? overreaction,65,-1.0,0,1
TSLA,2020-12-26T14:24:00,user_3_15,$TSLA Sold my position today. Taking profits,262,0.0,0,0
TSLA,2020-12-26T19:12:00,user_4_15,$TSLA mooning! 🚀📈 Love this stock!,311,1.0,3,0
TSLA,2020-12-27T00:00:00,user_0_16,$TSLA is looking bullish! 🚀 Great earnings report today,319,1.0,2,0
TSLA,2020-12-27T04:48:00,user_1_16,$TSLA Just bought more. Holding long term! 💎,74,1.0,2,0
TSLA,2020-12-27T09:36:00,user_2_16,$TSLA down today but I'm not worried. Strong company,493,0.0,1,1
TSLA,2020-12-27T14:24:00,user_3_16,$TSLA took a hit. Market volatility 📉,145,-1.0,0,1
TSLA,2020-12-27T19:12:00,user_4_16,$TSLA beat expectations again! To the moon! 🌙,57,0.0,0,0
TSLA,2020-12-28T00:00:00,user_0_17,$TSLA Bearish for now. Waiting for better entry,180,-1.0,0,1
TSLA,2020-12-28T04:48:00,user_1_17,$TSLA my top pick. Undervalued imo,278,0.0,0,0
TSLA,2020-12-28T09:36:00,user_2_17,$TSLA why is it down so much? overreaction,144,-1.0,0,1
TSLA,2020-12-28T14:24:00,user_3_17,$TSLA Sold my position today. Taking profits,117,0.0,0,0
TSLA,2020-12-28T19:12:00,user_4_17,$TSLA mooning! 🚀📈 Love this stock!,52,1.0,3,0
TSLA,2020-12-29T00:00:00,user_0_18,$TSLA is looking bullish! 🚀 Great earnings report today,119,1.0,2,0
TSLA,2020-12-29T04:48:00,user_1_18,$TSLA Just bought more. Holding long term! 💎,210,1.0,2,0
TSLA,2020-12-29T09:36:00,user_2_18,$TSLA down today but I'm not worried. Strong company,121,0.0,1,1
TSLA,2020-12-29T14:24:00,user_3_18,$TSLA took a hit. Market volatility 📉,235,-1.0,0,1
TSLA,2020-12-29T19:12:00,user_4_18,$TSLA beat expectations again! To the moon! 🌙,437,0.0,0,0
TSLA,2020-12-30T00:00:00,user_0_19,$TSLA Bearish for now. Waiting for better entry,313,-1.0,0,1
TSLA,2020-12-30T04:48:00,user_1_19,$TSLA my top pick. Undervalued imo,153,0.0,0,0
TSLA,2020-12-30T09:36:00,user_2_19,$TSLA why is it down so much? overreaction,229,-1.0,0,1
TSLA,2020-12-30T14:24:00,user_3_19,$TSLA Sold my position today. Taking profits,119,0.0,0,0
TSLA,2020-12-30T19:12:00,user_4_19,$TSLA mooning! 🚀📈 Love this stock!,350,1.0,3,0
TSLA,2020-12-31T00:00:00,user_0_20,$TSLA is looking bullish! 🚀 Great earnings report today,455,1.0,2,0
TSLA,2020-12-31T04:48:00,user_1_20,$TSLA Just bought more. Holding long term! 💎,345,1.0,2,0
TSLA,2020-12-31T09:36:00,user_2_20,$TSLA down today but I'm not worried. Strong company,271,0.0,1,1
TSLA,2020-12-31T14:24:00,user_3_20,$TSLA took a hit. Market volatility 📉,303,-1.0,0,1
TSLA,2020-12-31T19:12:00,user_4_20,$TSLA beat expectations again! To the moon! 🌙,472,0.0,0,0
TSLA,2021-01-01T00:00:00,user_0_21,$TSLA Bearish for now. Waiting for better entry,494,-1.0,0,1
TSLA,2021-01-01T04:48:00,user_1_21,$TSLA my top pick. Undervalued imo,299,0.0,0,0
TSLA,2021-01-01T09:36:00,user_2_21,$TSLA why is it down so much? overreaction,271,-1.0,0,1
TSLA,2021-01-01T14:24:00,user_3_21,$TSLA Sold my position today. Taking profits,110,0.0,0,0
TSLA,2021-01-01T19:12:00,user_4_21,$TSLA mooning! 🚀📈 Love this stock!,167,1.0,3,0
TSLA,2021-01-02T00:00:00,user_0_22,$TSLA is looking bullish! 🚀 Great earnings report today,225,1.0,2,0
TSLA,2021-01-02T04:48:00,user_1_22,$TSLA Just bought more. Holding long term! 💎,376,1.0,2,0
TSLA,2021-01-02T09:36:00,user_2_22,$TSLA down today but I'm not worried. Strong company,473,0.0,1,1
TSLA,2021-01-02T14:24:00,user_3_22,$TSLA took a hit. Market volatility 📉,332,-1.0,0,1
TSLA,2021-01-02T19:12:00,user_4_22,$TSLA beat expectations again! To the moon! 🌙,445,0.0,0,0
TSLA,2021-01-03T00:00:00,user_0_23,$TSLA Bearish for now. Waiting for better entry,421,-1.0,0,1
TSLA,2021-01-03T04:48:00,user_1_23,$TSLA my top pick. Undervalued imo,209,0.0,0,0
TSLA,2021-01-03T09:36:00,user_2_23,$TSLA why is it down so much? overreaction,261,-1.0,0,1
TSLA,2021-01-03T14:24:00,user_3_23,$TSLA Sold my position today. Taking profits,217,0.0,0,0
TSLA,2021-01-03T19:12:00,user_4_23,$TSLA mooning! 🚀📈 Love this stock!,409,1.0,3,0
TSLA,2021-01-04T00:00:00,user_0_24,$TSLA is looking bullish! 🚀 Great earnings report today,215,1.0,2,0
TSLA,2021-01-04T04:48:00,user_1_24,$TSLA Just bought more. Holding long term! 💎,110,1.0,2,0
TSLA,2021-01-04T09:36:00,user_2_24,$TSLA down today but I'm not worried. Strong company,297,0.0,1,1
TSLA,2021-01-04T14:24:00,user_3_24,$TSLA took a hit. Market volatility 📉,472,-1.0,0,1
TSLA,2021-01-04T19:12:00,user_4_24,$TSLA beat expectations again! To the moon! 🌙,31,0.0,0,0
TSLA,2021-01-05T00:00:00,user_0_25,$TSLA Bearish for now. Waiting for better entry,491,-1.0,0,1
TSLA,2021-01-05T04:48:00,user_1_25,$TSLA my top pick. Undervalued imo,374,0.0,0,0
TSLA,2021-01-05T09:36:00,user_2_25,$TSLA why is it down so much? overreaction,361,-1.0,0,1
TSLA,2021-01-05T14:24:00,user_3_25,$TSLA Sold my position today. Taking profits,200,0.0,0,0
TSLA,2021-01-05T19:12:00,user_4_25,$TSLA mooning! 🚀📈 Love this stock!,366,1.0,3,0
TSLA,2021-01-06T00:00:00,user_0_26,$TSLA is looking bullish! 🚀 Great earnings report today,301,1.0,2,0
TSLA,2021-01-06T04:48:00,user_1_26,$TSLA Just bought more. Holding long term! 💎,118,1.0,2,0
TSLA,2021-01-06T09:36:00,user_2_26,$TSLA down today but I'm not worried. Strong company,64,0.0,1,1
TSLA,2021-01-06T14:24:00,user_3_26,$TSLA took a hit. Market volatility 📉,346,-1.0,0,1
TSLA,2021-01-06T19:12:00,user_4_26,$TSLA beat expectations again! To the moon! 🌙,285,0.0,0,0
TSLA,2021-01-07T00:00:00,user_0_27,$TSLA Bearish for now. Waiting for better entry,37,-1.0,0,1
TSLA,2021-01-07T04:48:00,user_1_27,$TSLA my top pick. Undervalued imo,31,0.0,0,0
TSLA,2021-01-07T09:36:00,user_2_27,$TSLA why is it down so much? overreaction,40,-1.0,0,1
TSLA,2021-01-07T14:24:00,user_3_27,$TSLA Sold my position today. Taking profits,306,0.0,0,0
TSLA,2021-01-07T19:12:00,user_4_27,$TSLA mooning! 🚀📈 Love this stock!,189,1.0,3,0
TSLA,2021-01-08T00:00:00,user_0_28,$TSLA is looking bullish! 🚀 Great earnings report today,184,1.0,2,0
TSLA,2021-01-08T04:48:00,user_1_28,$TSLA Just bought more. Holding long term! 💎,6,1.0,2,0
TSLA,2021-01-08T09:36:00,user_2_28,$TSLA down today but I'm not worried. Strong company,313,0.0,1,1
TSLA,2021-01-08T14:24:00,user_3_28,$TSLA took a hit. Market volatility 📉,262,-1.0,0,1
TSLA,2021-01-08T19:12:00,user_4_28,$TSLA beat expectations again! To the moon! 🌙,234,0.0,0,0
TSLA,2021-01-09T00:00:00,user_0_29,$TSLA Bearish for now. Waiting for better entry,64,-1.0,0,1
TSLA,2021-01-09T04:48:00,user_1_29,$TSLA my top pick. Undervalued imo,366,0.0,0,0
TSLA,2021-01-09T09:36:00,user_2_29,$TSLA why is it down so much? overreaction,4,-1.0,0,1
TSLA,2021-01-09T14:24:00,user_3_29,$TSLA Sold my position today. Taking profits,382,0.0,0,0
TSLA,2021-01-09T19:12:00,user_4_29,$TSLA mooning! 🚀📈 Love this stock!,165,1.0,3,0
TSLA,2021-01-10T00:00:00,user_0_30,$TSLA is looking bullish! 🚀 Great earnings report today,192,1.0,2,0
TSLA,2021-01-10T04:48:00,user_1_30,$TSLA Just bought more. Holding long term! 💎,75,1.0,2,0
TSLA,2021-01-10T09:36:00,user_2_30,$TSLA down today but I'm not worried. Strong company,259,0.0,1,1
TSLA,2021-01-10T14:24:00,user_3_30,$TSLA took a hit. Market volatility 📉,394,-1.0,0,1
TSLA,2021-01-10T19:12:00,user_4_30,$TSLA beat expectations again! To the moon! 🌙,43,0.0,0,0
TSLA,2021-01-11T00:00:00,user_0_31,$TSLA Bearish for now. Waiting for better entry,419,-1.0,0,1
TSLA,2021-01-11T04:48:00,user_1_31,$TSLA my top pick. Undervalued imo,67,0.0,0,0
TSLA,2021-01-11T09:36:00,user_2_31,$TSLA why is it down so much? overreaction,150,-1.0,0,1
TSLA,2021-01-11T14:24:00,user_3_31,$TSLA Sold my position today. Taking profits,221,0.0,0,0
TSLA,2021-01-11T19:12:00,user_4_31,$TSLA mooning! 🚀📈 Love this stock!,418,1.0,3,0
TSLA,2021-01-12T00:00:00,user_0_32,$TSLA is looking bullish! 🚀 Great earnings report today,265,1.0,2,0
TSLA,2021-01-12T04:48:00,user_1_32,$TSLA Just bought more. Holding long term! 💎,405,1.0,2,0
TSLA,2021-01-12T09:36:00,user_2_32,$TSLA down today but I'm not worried. Strong company,274,0.0,1,1
TSLA,2021-01-12T14:24:00,user_3_32,$TSLA took a hit. Market volatility 📉,330,-1.0,0,1
TSLA,2021-01-12T19:12:00,user_4_32,$TSLA beat expectations again! To the moon! 🌙,425,0.0,0,0
TSLA,2021-01-13T00:00:00,user_0_33,$TSLA Bearish for now. Waiting for better entry,346,-1.0,0,1
TSLA,2021-01-13T04:48:00,user_1_33,$TSLA my top pick. Undervalued imo,416,0.0,0,0
TSLA,2021-01-13T09:36:00,user_2_33,$TSLA why is it down so much? overreaction,436,-1.0,0,1
TSLA,2021-01-13T14:24:00,user_3_33,$TSLA Sold my position today. Taking profits,137,0.0,0,0
TSLA,2021-01-13T19:12:00,user_4_33,$TSLA mooning! 🚀📈 Love this stock!,363,1.0,3,0
TSLA,2021-01-14T00:00:00,user_0_34,$TSLA is looking bullish! 🚀 Great earnings report today,73,1.0,2,0
TSLA,2021-01-14T04:48:00,user_1_34,$TSLA Just bought more. Holding long term! 💎,237,1.0,2,0
TSLA,2021-01-14T09:36:00,user_2_34,$TSLA down today but I'm not worried. Strong company,219,0.0,1,1
TSLA,2021-01-14T14:24:00,user_3_34,$TSLA took a hit. Market volatility 📉,257,-1.0,0,1
TSLA,2021-01-14T19:12:00,user_4_34,$TSLA beat expectations again! To the moon! 🌙,449,0.0,0,0
TSLA,2021-01-15T00:00:00,user_0_35,$TSLA Bearish for now. Waiting for better entry,395,-1.0,0,1
TSLA,2021-01-15T04:48:00,user_1_35,$TSLA my top pick. Undervalued imo,370,0.0,0,0
TSLA,2021-01-15T09:36:00,user_2_35,$TSLA why is it down so much? overreaction,73,-1.0,0,1
TSLA,2021-01-15T14:24:00,user_3_35,$TSLA Sold my position today. Taking profits,72,0.0,0,0
TSLA,2021-01-15T19:12:00,user_4_35,$TSLA mooning! 🚀📈 Love this stock!,183,1.0,3,0
TSLA,2021-01-16T00:00:00,user_0_36,$TSLA is looking bullish! 🚀 Great earnings report today,260,1.0,2,0
TSLA,2021-01-16T04:48:00,user_1_36,$TSLA Just bought more. Holding long term! 💎,464,1.0,2,0
TSLA,2021-01-16T09:36:00,user_2_36,$TSLA down today but I'm not worried. Strong company,153,0.0,1,1
TSLA,2021-01-16T14:24:00,user_3_36,$TSLA took a hit. Market volatility 📉,358,-1.0,0,1
TSLA,2021-01-16T19:12:00,user_4_36,$TSLA beat expectations again! To the moon! 🌙,179,0.0,0,0
TSLA,2021-01-17T00:00:00,user_0_37,$TSLA Bearish for now. Waiting for better entry,178,-1.0,0,1
TSLA,2021-01-17T04:48:00,user_1_37,$TSLA my top pick. Undervalued imo,432,0.0,0,0
TSLA,2021-01-17T09:36:00,user_2_37,$TSLA why is it down so much? overreaction,412,-1.0,0,1
TSLA,2021-01-17T14:24:00,user_3_37,$TSLA Sold my position today. Taking profits,110,0.0,0,0
TSLA,2021-01-17T19:12:00,user_4_37,$TSLA mooning! 🚀📈 Love this stock!,130,1.0,3,0
TSLA,2021-01-18T00:00:00,user_0_38,$TSLA is looking bullish! 🚀 Great earnings report today,430,1.0,2,0
TSLA,2021-01-18T04:48:00,user_1_38,$TSLA Just bought more. Holding long term! 💎,459,1.0,2,0
TSLA,2021-01-18T09:36:00,user_2_38,$TSLA down today but I'm not worried. Strong company,186,0.0,1,1
TSLA,2021-01-18T14:24:00,user_3_38,$TSLA took a hit. Market volatility 📉,153,-1.0,0,1
TSLA,2021-01-18T19:12:00,user_4_38,$TSLA beat expectations again! To the moon! 🌙,373,0.0,0,0
TSLA,2021-01-19T00:00:00,user_0_39,$TSLA Bearish for now. Waiting for better entry,360,-1.0,0,1
TSLA,2021-01-19T04:48:00,user_1_39,$TSLA my top pick. Undervalued imo,261,0.0,0,0
TSLA,2021-01-19T09:36:00,user_2_39,$TSLA why is it down so much? overreaction,43,-1.0,0,1
TSLA,2021-01-19T14:24:00,user_3_39,$TSLA Sold my position today. Taking profits,470,0.0,0,0
TSLA,2021-01-19T19:12:00,user_4_39,$TSLA mooning! 🚀📈 Love this stock!,50,1.0,3,0
TSLA,2021-01-20T00:00:00,user_0_40,$TSLA is looking bullish! 🚀 Great earnings report today,164,1.0,2,0
TSLA,2021-01-20T04:48:00,user_1_40,$TSLA Just bought more. Holding long term! 💎,57,1.0,2,0
TSLA,2021-01-20T09:36:00,user_2_40,$TSLA down today but I'm not worried. Strong company,34,0.0,1,1
TSLA,2021-01-20T14:24:00,user_3_40,$TSLA took a hit. Market volatility 📉,244,-1.0,0,1
TSLA,2021-01-20T19:12:00,user_4_40,$TSLA beat expectations again! To the moon! 🌙,284,0.0,0,0
TSLA,2021-01-21T00:00:00,user_0_41,$TSLA Bearish for now. Waiting for better entry,264,-1.0,0,1
TSLA,2021-01-21T04:48:00,user_1_41,$TSLA my top pick. Undervalued imo,146,0.0,0,0
TSLA,2021-01-21T09:36:00,user_2_41,$TSLA why is it down so much? overreaction,306,-1.0,0,1
TSLA,2021-01-21T14:24:00,user_3_41,$TSLA Sold my position today. Taking profits,489,0.0,0,0
TSLA,2021-01-21T19:12:00,user_4_41,$TSLA mooning! 🚀📈 Love this stock!,215,1.0,3,0
TSLA,2021-01-22T00:00:00,user_0_42,$TSLA is looking bullish! 🚀 Great earnings report today,401,1.0,2,0
TSLA,2021-01-22T04:48:00,user_1_42,$TSLA Just bought more. Holding long term! 💎,331,1.0,2,0
TSLA,2021-01-22T09:36:00,user_2_42,$TSLA down today but I'm not worried. Strong company,383,0.0,1,1
TSLA,2021-01-22T14:24:00,user_3_42,$TSLA took a hit. Market volatility 📉,379,-1.0,0,1
TSLA,2021-01-22T19:12:00,user_4_42,$TSLA beat expectations again! To the moon! 🌙,90,0.0,0,0
TSLA,2021-01-23T00:00:00,user_0_43,$TSLA Bearish for now. Waiting for better entry,463,-1.0,0,1
TSLA,2021-01-23T04:48:00,user_1_43,$TSLA my top pick. Undervalued imo,15,0.0,0,0
TSLA,2021-01-23T09:36:00,user_2_43,$TSLA why is it down so much? overreaction,104,-1.0,0,1
TSLA,2021-01-23T14:24:00,user_3_43,$TSLA Sold my position today. Taking profits,157,0.0,0,0
TSLA,2021-01-23T19:12:00,user_4_43,$TSLA mooning! 🚀📈 Love this stock!,428,1.0,3,0
TSLA,2021-01-24T00:00:00,user_0_44,$TSLA is looking bullish! 🚀 Great earnings report today,25,1.0,2,0
TSLA,2021-01-24T04:48:00,user_1_44,$TSLA Just bought more. Holding long term! 💎,270,1.0,2,0
TSLA,2021-01-24T09:36:00,user_2_44,$TSLA down today but I'm not worried. Strong company,257,0.0,1,1
TSLA,2021-01-24T14:24:00,user_3_44,$TSLA took a hit. Market volatility 📉,256,-1.0,0,1
TSLA,2021-01-24T19:12:00,user_4_44,$TSLA beat expectations again! To the moon! 🌙,354,0.0,0,0
TSLA,2021-01-25T00:00:00,user_0_45,$TSLA Bearish for now. Waiting for better entry,239,-1.0,0,1
TSLA,2021-01-25T04:48:00,user_1_45,$TSLA my top pick. Undervalued imo,192,0.0,0,0
TSLA,2021-01-25T09:36:00,user_2_45,$TSLA why is it down so much? overreaction,422,-1.0,0,1
TSLA,2021-01-25T14:24:00,user_3_45,$TSLA Sold my position today. Taking profits,324,0.0,0,0
TSLA,2021-01-25T19:12:00,user_4_45,$TSLA mooning! 🚀📈 Love this stock!,263,1.0,3,0
TSLA,2021-01-26T00:00:00,user_0_46,$TSLA is looking bullish! 🚀 Great earnings report today,494,1.0,2,0
TSLA,2021-01-26T04:48:00,user_1_46,$TSLA Just bought more. Holding long term! 💎,381,1.0,2,0
TSLA,2021-01-26T09:36:00,user_2_46,$TSLA down today but I'm not worried. Strong company,193,0.0,1,1
TSLA,2021-01-26T14:24:00,user_3_46,$TSLA took a hit. Market volatility 📉,409,-1.0,0,1
TSLA,2021-01-26T19:12:00,user_4_46,$TSLA beat expectations again! To the moon! 🌙,90,0.0,0,0
TSLA,2021-01-27T00:00:00,user_0_47,$TSLA Bearish for now. Waiting for better entry,397,-1.0,0,1
TSLA,2021-01-27T04:48:00,user_1_47,$TSLA my top pick. Undervalued imo,457,0.0,0,0
TSLA,2021-01-27T09:36:00,user_2_47,$TSLA why is it down so much? overreaction,177,-1.0,0,1
TSLA,2021-01-27T14:24:00,user_3_47,$TSLA Sold my position today. Taking profits,280,0.0,0,0
TSLA,2021-01-27T19:12:00,user_4_47,$TSLA mooning! 🚀📈 Love this stock!,488,1.0,3,0
TSLA,2021-01-28T00:00:00,user_0_48,$TSLA is looking bullish! 🚀 Great earnings report today,464,1.0,2,0
TSLA,2021-01-28T04:48:00,user_1_48,$TSLA Just bought more. Holding long term! 💎,40,1.0,2,0
TSLA,2021-01-28T09:36:00,user_2_48,$TSLA down today but I'm not worried. Strong company,428,0.0,1,1
TSLA,2021-01-28T14:24:00,user_3_48,$TSLA took a hit. Market volatility 📉,68,-1.0,0,1
TSLA,2021-01-28T19:12:00,user_4_48,$TSLA beat expectations again! To the moon! 🌙,194,0.0,0,0
TSLA,2021-01-29T00:00:00,user_0_49,$TSLA Bearish for now. Waiting for better entry,312,-1.0,0,1
TSLA,2021-01-29T04:48:00,user_1_49,$TSLA my top pick. Undervalued imo,169,0.0,0,0
TSLA,2021-01-29T09:36:00,user_2_49,$TSLA why is it down so much? overreaction,229,-1.0,0,1
TSLA,2021-01-29T14:24:00,user_3_49,$TSLA Sold my position today. Taking profits,243,0.0,0,0
TSLA,2021-01-29T19:12:00,user_4_49,$TSLA mooning! 🚀📈 Love this stock!,203,1.0,3,0
TSLA,2021-01-30T00:00:00,user_0_50,$TSLA is looking bullish! 🚀 Great earnings report today,161,1.0,2,0
TSLA,2021-01-30T04:48:00,user_1_50,$TSLA Just bought more. Holding long term! 💎,311,1.0,2,0
TSLA,2021-01-30T09:36:00,user_2_50,$TSLA down today but I'm not worried. Strong company,450,0.0,1,1
TSLA,2021-01-30T14:24:00,user_3_50,$TSLA took a hit. Market volatility 📉,433,-1.0,0,1
